plan_id,profile_id,content,steering_condition,repetition,model_key,target_O,target_N
qwen3-32b__syn_0000__turning_point__liwc_only__r0,syn_0000,turning_point,liwc_only,0,qwen3-32b,50.0,80.0
qwen3-32b__syn_0000__turning_point__persona_liwc__r0,syn_0000,turning_point,persona_liwc,0,qwen3-32b,50.0,80.0
qwen3-32b__syn_0000__turning_point__lex_fewshot__r0,syn_0000,turning_point,lex_fewshot,0,qwen3-32b,50.0,80.0
gpt-4o-mini__syn_0000__memorable_journey__persona_only__r0,syn_0000,memorable_journey,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__memorable_journey__liwc_only__r0,syn_0000,memorable_journey,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__memorable_journey__persona_liwc__r0,syn_0000,memorable_journey,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__memorable_journey__lex_fewshot__r0,syn_0000,memorable_journey,lex_fewshot,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__difficult_decision__persona_only__r0,syn_0000,difficult_decision,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__difficult_decision__liwc_only__r0,syn_0000,difficult_decision,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__difficult_decision__persona_liwc__r0,syn_0000,difficult_decision,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__difficult_decision__lex_fewshot__r0,syn_0000,difficult_decision,lex_fewshot,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__daily_life_change__persona_only__r0,syn_0000,daily_life_change,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__daily_life_change__liwc_only__r0,syn_0000,daily_life_change,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__daily_life_change__persona_liwc__r0,syn_0000,daily_life_change,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__daily_life_change__lex_fewshot__r0,syn_0000,daily_life_change,lex_fewshot,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__meaningful_relationship__persona_only__r0,syn_0000,meaningful_relationship,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__meaningful_relationship__liwc_only__r0,syn_0000,meaningful_relationship,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__meaningful_relationship__persona_liwc__r0,syn_0000,meaningful_relationship,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__meaningful_relationship__lex_fewshot__r0,syn_0000,meaningful_relationship,lex_fewshot,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__childhood_memory__persona_only__r0,syn_0000,childhood_memory,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__childhood_memory__liwc_only__r0,syn_0000,childhood_memory,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__childhood_memory__persona_liwc__r0,syn_0000,childhood_memory,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__childhood_memory__lex_fewshot__r0,syn_0000,childhood_memory,lex_fewshot,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__turning_point__persona_only__r0,syn_0000,turning_point,persona_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__turning_point__liwc_only__r0,syn_0000,turning_point,liwc_only,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__turning_point__persona_liwc__r0,syn_0000,turning_point,persona_liwc,0,gpt-4o-mini,50.0,80.0
gpt-4o-mini__syn_0000__turning_point__lex_fewshot__r0,syn_0000,turning_point,lex_fewshot,0,gpt-4o-mini,50.0,80.0
deepseek-v3__syn_0001__memorable_journey__persona_only__r0,syn_0001,memorable_journey,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__memorable_journey__liwc_only__r0,syn_0001,memorable_journey,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__memorable_journey__persona_liwc__r0,syn_0001,memorable_journey,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,memorable_journey,lex_fewshot,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__difficult_decision__persona_only__r0,syn_0001,difficult_decision,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__difficult_decision__liwc_only__r0,syn_0001,difficult_decision,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,difficult_decision,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,difficult_decision,lex_fewshot,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__daily_life_change__persona_only__r0,syn_0001,daily_life_change,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__daily_life_change__liwc_only__r0,syn_0001,daily_life_change,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,daily_life_change,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,daily_life_change,lex_fewshot,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,meaningful_relationship,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__meaningful_relationship__liwc_only__r0,syn_0001,meaningful_relationship,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,meaningful_relationship,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__meaningful_relationship__lex_fewshot__r0,syn_0001,meaningful_relationship,lex_fewshot,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__childhood_memory__persona_only__r0,syn_0001,childhood_memory,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__childhood_memory__liwc_only__r0,syn_0001,childhood_memory,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__childhood_memory__persona_liwc__r0,syn_0001,childhood_memory,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__childhood_memory__lex_fewshot__r0,syn_0001,childhood_memory,lex_fewshot,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__turning_point__persona_only__r0,syn_0001,turning_point,persona_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__turning_point__liwc_only__r0,syn_0001,turning_point,liwc_only,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__turning_point__persona_liwc__r0,syn_0001,turning_point,persona_liwc,0,deepseek-v3,17.0,40.0
deepseek-v3__syn_0001__turning_point__lex_fewshot__r0,syn_0001,turning_point,lex_fewshot,0,deepseek-v3,17.0,40.0
qwen3-32b__syn_0001__memorable_journey__persona_only__r0,syn_0001,memorable_journey,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__memorable_journey__liwc_only__r0,syn_0001,memorable_journey,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__memorable_journey__persona_liwc__r0,syn_0001,memorable_journey,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,memorable_journey,lex_fewshot,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__difficult_decision__persona_only__r0,syn_0001,difficult_decision,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__difficult_decision__liwc_only__r0,syn_0001,difficult_decision,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,difficult_decision,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,difficult_decision,lex_fewshot,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__daily_life_change__persona_only__r0,syn_0001,daily_life_change,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__daily_life_change__liwc_only__r0,syn_0001,daily_life_change,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,daily_life_change,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,daily_life_change,lex_fewshot,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,meaningful_relationship,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__meaningful_relationship__liwc_only__r0,syn_0001,meaningful_relationship,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,meaningful_relationship,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__meaningful_relationship__lex_fewshot__r0,syn_0001,meaningful_relationship,lex_fewshot,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__childhood_memory__persona_only__r0,syn_0001,childhood_memory,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__childhood_memory__liwc_only__r0,syn_0001,childhood_memory,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__childhood_memory__persona_liwc__r0,syn_0001,childhood_memory,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__childhood_memory__lex_fewshot__r0,syn_0001,childhood_memory,lex_fewshot,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__turning_point__persona_only__r0,syn_0001,turning_point,persona_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__turning_point__liwc_only__r0,syn_0001,turning_point,liwc_only,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__turning_point__persona_liwc__r0,syn_0001,turning_point,persona_liwc,0,qwen3-32b,17.0,40.0
qwen3-32b__syn_0001__turning_point__lex_fewshot__r0,syn_0001,turning_point,lex_fewshot,0,qwen3-32b,17.0,40.0
gpt-4o-mini__syn_0001__memorable_journey__persona_only__r0,syn_0001,memorable_journey,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__memorable_journey__liwc_only__r0,syn_0001,memorable_journey,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__memorable_journey__persona_liwc__r0,syn_0001,memorable_journey,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__memorable_journey__lex_fewshot__r0,syn_0001,memorable_journey,lex_fewshot,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__difficult_decision__persona_only__r0,syn_0001,difficult_decision,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__difficult_decision__liwc_only__r0,syn_0001,difficult_decision,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__difficult_decision__persona_liwc__r0,syn_0001,difficult_decision,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__difficult_decision__lex_fewshot__r0,syn_0001,difficult_decision,lex_fewshot,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__daily_life_change__persona_only__r0,syn_0001,daily_life_change,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__daily_life_change__liwc_only__r0,syn_0001,daily_life_change,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__daily_life_change__persona_liwc__r0,syn_0001,daily_life_change,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__daily_life_change__lex_fewshot__r0,syn_0001,daily_life_change,lex_fewshot,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__meaningful_relationship__persona_only__r0,syn_0001,meaningful_relationship,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__meaningful_relationship__liwc_only__r0,syn_0001,meaningful_relationship,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__meaningful_relationship__persona_liwc__r0,syn_0001,meaningful_relationship,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__meaningful_relationship__lex_fewshot__r0,syn_0001,meaningful_relationship,lex_fewshot,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__childhood_memory__persona_only__r0,syn_0001,childhood_memory,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__childhood_memory__liwc_only__r0,syn_0001,childhood_memory,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__childhood_memory__persona_liwc__r0,syn_0001,childhood_memory,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__childhood_memory__lex_fewshot__r0,syn_0001,childhood_memory,lex_fewshot,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__turning_point__persona_only__r0,syn_0001,turning_point,persona_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__turning_point__liwc_only__r0,syn_0001,turning_point,liwc_only,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__turning_point__persona_liwc__r0,syn_0001,turning_point,persona_liwc,0,gpt-4o-mini,17.0,40.0
gpt-4o-mini__syn_0001__turning_point__lex_fewshot__r0,syn_0001,turning_point,lex_fewshot,0,gpt-4o-mini,17.0,40.0
deepseek-v3__syn_0002__memorable_journey__persona_only__r0,syn_0002,memorable_journey,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__memorable_journey__liwc_only__r0,syn_0002,memorable_journey,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__memorable_journey__persona_liwc__r0,syn_0002,memorable_journey,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__memorable_journey__lex_fewshot__r0,syn_0002,memorable_journey,lex_fewshot,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__difficult_decision__persona_only__r0,syn_0002,difficult_decision,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__difficult_decision__liwc_only__r0,syn_0002,difficult_decision,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__difficult_decision__persona_liwc__r0,syn_0002,difficult_decision,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__difficult_decision__lex_fewshot__r0,syn_0002,difficult_decision,lex_fewshot,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__daily_life_change__persona_only__r0,syn_0002,daily_life_change,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__daily_life_change__liwc_only__r0,syn_0002,daily_life_change,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__daily_life_change__persona_liwc__r0,syn_0002,daily_life_change,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__daily_life_change__lex_fewshot__r0,syn_0002,daily_life_change,lex_fewshot,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__meaningful_relationship__persona_only__r0,syn_0002,meaningful_relationship,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__meaningful_relationship__liwc_only__r0,syn_0002,meaningful_relationship,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__meaningful_relationship__persona_liwc__r0,syn_0002,meaningful_relationship,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__meaningful_relationship__lex_fewshot__r0,syn_0002,meaningful_relationship,lex_fewshot,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__childhood_memory__persona_only__r0,syn_0002,childhood_memory,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__childhood_memory__liwc_only__r0,syn_0002,childhood_memory,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__childhood_memory__persona_liwc__r0,syn_0002,childhood_memory,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__childhood_memory__lex_fewshot__r0,syn_0002,childhood_memory,lex_fewshot,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__turning_point__persona_only__r0,syn_0002,turning_point,persona_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__turning_point__liwc_only__r0,syn_0002,turning_point,liwc_only,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__turning_point__persona_liwc__r0,syn_0002,turning_point,persona_liwc,0,deepseek-v3,17.0,94.0
deepseek-v3__syn_0002__turning_point__lex_fewshot__r0,syn_0002,turning_point,lex_fewshot,0,deepseek-v3,17.0,94.0
qwen3-32b__syn_0002__memorable_journey__persona_only__r0,syn_0002,memorable_journey,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__memorable_journey__liwc_only__r0,syn_0002,memorable_journey,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__memorable_journey__persona_liwc__r0,syn_0002,memorable_journey,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__memorable_journey__lex_fewshot__r0,syn_0002,memorable_journey,lex_fewshot,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__difficult_decision__persona_only__r0,syn_0002,difficult_decision,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__difficult_decision__liwc_only__r0,syn_0002,difficult_decision,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__difficult_decision__persona_liwc__r0,syn_0002,difficult_decision,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__difficult_decision__lex_fewshot__r0,syn_0002,difficult_decision,lex_fewshot,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__daily_life_change__persona_only__r0,syn_0002,daily_life_change,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__daily_life_change__liwc_only__r0,syn_0002,daily_life_change,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__daily_life_change__persona_liwc__r0,syn_0002,daily_life_change,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__daily_life_change__lex_fewshot__r0,syn_0002,daily_life_change,lex_fewshot,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__meaningful_relationship__persona_only__r0,syn_0002,meaningful_relationship,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__meaningful_relationship__liwc_only__r0,syn_0002,meaningful_relationship,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__meaningful_relationship__persona_liwc__r0,syn_0002,meaningful_relationship,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__meaningful_relationship__lex_fewshot__r0,syn_0002,meaningful_relationship,lex_fewshot,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__childhood_memory__persona_only__r0,syn_0002,childhood_memory,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__childhood_memory__liwc_only__r0,syn_0002,childhood_memory,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__childhood_memory__persona_liwc__r0,syn_0002,childhood_memory,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__childhood_memory__lex_fewshot__r0,syn_0002,childhood_memory,lex_fewshot,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__turning_point__persona_only__r0,syn_0002,turning_point,persona_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__turning_point__liwc_only__r0,syn_0002,turning_point,liwc_only,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__turning_point__persona_liwc__r0,syn_0002,turning_point,persona_liwc,0,qwen3-32b,17.0,94.0
qwen3-32b__syn_0002__turning_point__lex_fewshot__r0,syn_0002,turning_point,lex_fewshot,0,qwen3-32b,17.0,94.0
gpt-4o-mini__syn_0002__memorable_journey__persona_only__r0,syn_0002,memorable_journey,persona_only,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__memorable_journey__liwc_only__r0,syn_0002,memorable_journey,liwc_only,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__memorable_journey__persona_liwc__r0,syn_0002,memorable_journey,persona_liwc,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__memorable_journey__lex_fewshot__r0,syn_0002,memorable_journey,lex_fewshot,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__difficult_decision__persona_only__r0,syn_0002,difficult_decision,persona_only,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__difficult_decision__liwc_only__r0,syn_0002,difficult_decision,liwc_only,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__difficult_decision__persona_liwc__r0,syn_0002,difficult_decision,persona_liwc,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__difficult_decision__lex_fewshot__r0,syn_0002,difficult_decision,lex_fewshot,0,gpt-4o-mini,17.0,94.0
gpt-4o-mini__syn_0002__daily_life_change__persona_only__r0,syn_0002,daily_life_change,persona_only,0,gpt-4o-mini,17.0,94.0
